Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
4;2015;0;JonesJulio;WR;atl;h;hou;28.3;9400
4;2015;0;RodgersAaron;QB;gnb;a;sfo;26.1;9200
4;2015;0;LuckAndrew;QB;ind;h;jac;15.9;9100
4;2015;0;Beckham Jr.Odell;WR;nyg;a;buf;16.1;9100
4;2015;0;PetersonAdrian;RB;min;a;den;16.5;9000
4;2015;0;BellLe'Veon;RB;pit;h;bal;22.7;8900
4;2015;0;BrownAntonio;WR;pit;h;bal;24.0;8900
4;2015;0;CharlesJamaal;RB;kan;a;cin;21.4;8700
4;2015;0;LynchMarshawn;RB;sea;h;det;8.5;8600
4;2015;0;ThomasDemaryius;WR;den;h;min;14.3;8500
4;2015;0;GreenA.J.;WR;cin;h;kan;20.2;8400
4;2015;0;RyanMatt;QB;atl;h;hou;19.4;8400
4;2015;0;BreesDrew;QB;nor;h;dal;15.3;8400
4;2015;0;NewtonCam;QB;car;a;tam;23.9;8300
4;2015;0;ForteMatt;RB;chi;h;oak;15.0;8300
4;2015;0;WilsonRussell;QB;sea;h;det;18.5;8200
4;2015;0;CobbRandall;WR;gnb;a;sfo;19.9;8200
4;2015;0;ManningPeyton;QB;den;h;min;15.7;8200
4;2015;0;PalmerCarson;QB;ari;h;stl;22.5;8200
4;2015;0;JohnsonCalvin;WR;det;a;sea;12.0;8100
4;2015;0;IngramMark;RB;nor;h;dal;15.3;8100
4;2015;0;FosterArian;RB;hou;a;atl;19.6;8000
4;2015;0;FlaccoJoe;QB;bal;a;pit;15.6;8000
4;2015;0;HopkinsDeAndre;WR;hou;a;atl;18.7;7900
4;2015;0;SandersEmmanuel;WR;den;h;min;15.6;7900
4;2015;0;ManningEli;QB;nyg;a;buf;15.9;7800
4;2015;0;LacyEddie;RB;gnb;a;sfo;9.3;7800
4;2015;0;MarshallBrandon;WR;nyj;a;mia;18.2;7800
4;2015;0;TannehillRyan;QB;mia;h;nyj;17.5;7700
4;2015;0;AllenKeenan;WR;sdg;h;cle;18.7;7700
4;2015;0;JefferyAlshon;WR;chi;h;oak;10.3;7600
4;2015;0;DaltonAndy;QB;cin;h;kan;23.9;7600
